Data;Dose 1;Dose 2;Dose 3;Casos Totais;Casos Ativos;Óbitos;Casos Diários;Óbitos Diários
2020-05-19;0;0;0;67;39;3;0;0
2020-05-20;0;0;0;77;49;3;10;0
2020-05-21;0;0;0;83;45;4;6;1
2020-05-22;0;0;0;95;57;4;12;0
2020-05-23;0;0;0;95;57;4;0;0
2020-05-24;0;0;0;95;57;4;0;0
2020-05-25;0;0;0;110;62;4;15;0
2020-05-26;0;0;0;110;57;4;0;0
2020-05-27;0;0;0;127;66;6;17;2
2020-05-28;0;0;0;140;77;7;13;1
2020-05-29;0;0;0;146;82;7;6;0
2020-05-30;0;0;0;146;82;7;0;0
2020-05-31;0;0;0;146;82;7;0;0
2020-06-01;0;0;0;161;78;7;15;0
2020-06-02;0;0;0;181;97;8;20;1
2020-06-03;0;0;0;195;103;9;14;1
2020-06-04;0;0;0;212;119;9;17;0
2020-06-05;0;0;0;223;117;10;11;1
2020-06-06;0;0;0;223;117;10;0;0
2020-06-07;0;0;0;223;117;10;0;0
2020-06-08;0;0;0;239;105;11;16;1
2020-06-09;0;0;0;262;126;11;23;0
2020-06-10;0;0;0;272;136;11;10;0
2020-06-11;0;0;0;299;152;11;27;0
2020-06-12;0;0;0;328;155;11;29;0
2020-06-13;0;0;0;328;155;11;0;0
2020-06-14;0;0;0;328;155;11;0;0
2020-06-15;0;0;0;343;155;12;15;1
2020-06-16;0;0;0;365;164;13;22;1
2020-06-17;0;0;0;391;169;16;26;3
2020-06-18;0;0;0;423;181;17;32;1
2020-06-19;0;0;0;469;218;17;46;0
2020-06-20;0;0;0;469;218;17;0;0
2020-06-21;0;0;0;469;218;17;0;0
2020-06-22;0;0;0;495;231;20;26;3
2020-06-23;0;0;0;525;232;20;30;0
2020-06-24;0;0;0;564;270;20;39;0
2020-06-25;0;0;0;628;270;21;64;1
2020-06-26;0;0;0;683;323;22;55;1
2020-06-27;0;0;0;683;323;22;0;0
2020-06-28;0;0;0;683;323;22;0;0
2020-06-29;0;0;0;747;380;22;64;0
2020-06-30;0;0;0;765;385;24;18;2
2020-07-01;0;0;0;826;445;25;61;1
2020-07-02;0;0;0;906;524;26;80;1
2020-07-03;0;0;0;985;598;31;79;5
2020-07-04;0;0;0;985;598;31;0;0
2020-07-05;0;0;0;985;598;31;0;0
2020-07-06;0;0;0;1010;559;36;25;5
2020-07-07;0;0;0;1072;578;37;62;1
2020-07-08;0;0;0;1081;522;37;9;0
2020-07-09;0;0;0;1117;489;37;36;0
2020-07-10;0;0;0;1139;558;37;22;0
2020-07-11;0;0;0;1139;558;37;0;0
2020-07-12;0;0;0;1139;558;37;0;0
2020-07-13;0;0;0;1225;213;39;86;2
2020-07-14;0;0;0;1269;231;40;44;1
2020-07-15;0;0;0;1308;235;43;39;3
2020-07-16;0;0;0;1342;244;43;34;0
2020-07-17;0;0;0;1379;238;45;37;2
2020-07-18;0;0;0;1379;238;45;0;0
2020-07-19;0;0;0;1379;238;45;0;0
2020-07-20;0;0;0;1403;189;48;24;3
2020-07-21;0;0;0;1425;187;48;22;0
2020-07-22;0;0;0;1509;239;49;84;1
2020-07-23;0;0;0;1551;248;49;42;0
2020-07-24;0;0;0;1582;246;50;31;1
2020-07-25;0;0;0;1582;246;50;0;0
2020-07-26;0;0;0;1582;246;50;0;0
2020-07-27;0;0;0;1621;167;52;39;2
2020-07-28;0;0;0;1688;204;54;67;2
2020-07-29;0;0;0;1720;202;54;32;0
2020-07-30;0;0;0;1799;221;55;79;1
2020-07-31;0;0;0;1827;208;56;28;1
2020-08-01;0;0;0;1827;208;56;0;0
2020-08-02;0;0;0;1827;208;56;0;0
2020-08-03;0;0;0;1845;151;56;18;0
2020-08-04;0;0;0;1894;181;56;49;0
2020-08-05;0;0;0;1933;167;56;39;0
2020-08-06;0;0;0;1950;162;56;17;0
2020-08-07;0;0;0;1962;154;56;12;0
2020-08-08;0;0;0;1962;154;56;0;0
2020-08-09;0;0;0;1962;154;56;0;0
2020-08-10;0;0;0;1994;132;59;32;3
2020-08-11;0;0;0;2035;149;60;41;1
2020-08-12;0;0;0;2060;143;60;25;0
2020-08-13;0;0;0;2083;146;61;23;1
2020-08-14;0;0;0;2095;144;61;12;0
2020-08-15;0;0;0;2095;144;61;0;0
2020-08-16;0;0;0;2095;144;61;0;0
2020-08-17;0;0;0;2108;106;62;13;1
2020-08-18;0;0;0;2146;124;62;38;0
2020-08-19;0;0;0;2174;125;65;28;3
2020-08-20;0;0;0;2205;144;65;31;0
2020-08-21;0;0;0;2221;148;65;16;0
2020-08-22;0;0;0;2221;148;65;0;0
2020-08-23;0;0;0;2221;148;65;0;0
2020-08-24;0;0;0;2231;112;65;10;0
