data;casos_totais;casos_ativos;óbitos;dose 1;dose 2
14/03/2021;7544;128;153;6649;3521
13/03/2021;7544;128;153;6649;3521
12/03/2021;7544;128;153;6649;3521
11/03/2021;7523;120;153;6649;3521
10/03/2021;7514;126;153;6257;3514
09/03/2021;7493;124;153;6014;3489
08/03/2021;7464;136;153;5872;3358
07/03/2021;7452;154;152;5862;3319
06/03/2021;7452;154;152;5862;3319
05/03/2021;7452;154;152;5862;3319
04/03/2021;7444;159;152;5483;3084
03/03/2021;7431;166;151;5371;2888
02/03/2021;7407;155;151;5061;2878
01/03/2021;7377;139;151;5061;2878
28/02/2021;7356;153;151;5047;2722
27/02/2021;7356;153;151;5047;2722
26/02/2021;7356;153;151;5047;2722
25/02/2021;7326;138;151;5045;2588
24/02/2021;7313;142;151;5045;2578
23/02/2021;7277;117;151;5045;2578
22/02/2021;7266;123;150;5045;2578
21/02/2021;7242;145;150;5004;2478
20/02/2021;7242;145;150;5004;2478
19/02/2021;7242;145;150;5004;2478
18/02/2021;7194;133;150;4616;2422
17/02/2021;7180;112;146;4076;2243
16/02/2021;7165;180;144;4076;2243
15/02/2021;7165;180;144;4076;2243
14/02/2021;7165;180;144;4076;2243
13/02/2021;7165;180;144;4076;2243
12/02/2021;7165;180;144;4076;2243
11/02/2021;7156;198;143;4076;1800
10/02/2021;7115;176;143;4075;786
09/02/2021;7082;167;143;4075;253
08/02/2021;7061;162;142;4075;114
07/02/2021;7010;191;142;4075;0
06/02/2021;7010;191;142;4075;0
05/02/2021;7010;191;142;4075;0
04/02/2021;6993;194;140;4005;0
03/02/2021;6953;208;136;3635;0
02/02/2021;6914;199;134;2608;0
01/02/2021;6884;194;132;2635;0
31/01/2021;6871;287;131;2496;0
30/01/2021;6871;287;131;2495;0
29/01/2021;6871;287;131;2494;0
28/01/2021;6832;300;130;2494;0
27/01/2021;6771;296;127;1776;0
26/01/2021;6678;254;127;1424;0
25/01/2021;6644;250;125;1279;0
24/01/2021;6603;339;125;765;0
23/01/2021;6603;339;125;765;0
22/01/2021;6603;339;125;765;0
21/01/2021;6536;313;124;569;0
20/01/2021;6492;314;124;2;0
19/01/2021;6440;329;124;0;0
18/01/2021;6324;264;117;0;0
17/01/2021;6273;282;116;0;0
16/01/2021;6273;282;116;0;0
15/01/2021;6273;282;116;0;0
14/01/2021;6218;298;116;0;0
13/01/2021;6115;274;112;0;0
12/01/2021;5996;271;112;0;0
11/01/2021;5878;204;112;0;0
10/01/2021;5757;257;112;0;0
09/01/2021;5757;257;112;0;0
08/01/2021;5757;257;112;0;0
07/01/2021;5662;228;112;0;0
06/01/2021;5505;176;111;0;0
05/01/2021;5329;84;109;0;0
04/01/2021;5281;79;109;0;0
03/01/2021;5207;115;109;0;0
02/01/2021;5207;115;109;0;0
01/01/2021;5207;115;109;0;0
31/12/2020;5207;115;109;0;0
30/12/2020;5207;115;109;0;0
29/12/2020;5121;114;107;0;0
28/12/2020;5078;114;106;0;0
27/12/2020;4940;193;100;0;0
26/12/2020;4940;193;100;0;0
25/12/2020;4940;193;100;0;0
24/12/2020;4940;193;100;0;0
23/12/2020;4940;193;100;0;0
22/12/2020;4877;205;98;0;0
21/12/2020;4812;181;98;0;0
20/12/2020;4751;203;95;0;0
19/12/2020;4751;203;95;0;0
18/12/2020;4751;203;95;0;0
17/12/2020;4692;197;95;0;0
16/12/2020;4625;165;95;0;0
15/12/2020;4598;183;95;0;0
14/12/2020;4511;147;94;0;0
13/12/2020;4444;199;94;0;0
12/12/2020;4444;199;94;0;0
11/12/2020;4444;199;94;0;0
10/12/2020;4369;151;94;0;0
09/12/2020;4265;141;94;0;0
08/12/2020;4205;145;93;0;0
07/12/2020;4148;136;93;0;0
06/12/2020;4131;172;93;0;0
05/12/2020;4131;172;93;0;0
04/12/2020;4131;172;93;0;0
03/12/2020;4091;156;93;0;0
02/12/2020;4060;149;93;0;0
01/12/2020;4004;123;92;0;0
30/11/2020;3986;134;92;0;0
29/11/2020;3924;118;91;0;0
28/11/2020;3924;118;91;0;0
27/11/2020;3924;118;91;0;0
26/11/2020;3912;116;91;0;0
25/11/2020;3896;126;90;0;0
24/11/2020;3856;103;90;0;0
23/11/2020;3838;104;88;0;0
22/11/2020;3822;147;88;0;0
21/11/2020;3822;147;88;0;0
20/11/2020;3822;147;88;0;0
19/11/2020;3811;153;88;0;0
18/11/2020;3781;139;88;0;0
17/11/2020;3756;135;88;0;0
16/11/2020;3695;97;87;0;0
15/11/2020;3685;118;87;0;0
14/11/2020;3685;118;87;0;0
13/11/2020;3685;118;87;0;0
12/11/2020;3677;122;87;0;0
11/11/2020;3659;115;87;0;0
10/11/2020;3633;107;85;0;0
09/11/2020;3604;95;85;0;0
08/11/2020;3595;111;85;0;0
07/11/2020;3595;111;85;0;0
06/11/2020;3595;111;85;0;0
05/11/2020;3585;117;85;0;0
04/11/2020;3558;92;85;0;0
03/11/2020;3518;80;84;0;0
02/11/2020;3502;104;84;0;0
01/11/2020;3502;104;84;0;0
31/10/2020;3502;104;84;0;0
30/10/2020;3502;104;84;0;0
29/10/2020;3502;104;84;0;0
28/10/2020;3484;104;84;0;0
27/10/2020;3452;90;82;0;0
26/10/2020;3419;64;81;0;0
25/10/2020;3415;94;81;0;0
24/10/2020;3415;94;81;0;0
23/10/2020;3415;94;81;0;0
22/10/2020;3411;94;81;0;0
21/10/2020;3390;91;81;0;0
20/10/2020;3362;113;81;0;0
19/10/2020;3323;75;80;0;0
18/10/2020;3318;103;80;0;0
17/10/2020;3318;103;80;0;0
16/10/2020;3318;103;80;0;0
15/10/2020;3301;104;80;0;0
